,City,Temp,Humidity,Cloudiness,Wind Speed,Latitudes
507,tadine,68.99,100,92,10.33,-22.79171204653136
508,manono,68.63,56,0,3.74,-7.616300063745541
509,kawhia,54.32,100,92,8.77,-37.86302685151024
510,mount isa,55.4,58,0,3.36,-21.695227353520778
511,suntar,57.38,55,0,4.63,59.877933239507655
512,nova olinda do norte,73.13,98,12,1.95,-4.0211967733811775
513,sungaipenuh,66.47,95,76,0.6,-4.076441072939929
514,ulladulla,37.4,93,0,9.22,-38.92359494405694
515,athabasca,70.88,73,44,12.24,56.04465125597352
516,sao filipe,77.63,95,80,11.68,5.118045778995167
517,marsh harbour,84.47,96,92,15.7,29.934193382177398
518,kyshtovka,44.33,83,8,5.75,58.54729404913334
519,umm kaddadah,68.18,98,36,3.06,12.971027555542094
520,caravelas,75.74,100,48,16.71,-23.520652388333147
521,billings,82.4,18,20,4.7,46.845024168914904
522,starosubkhangulovo,53.42,85,0,2.62,53.125857586410234
523,bedele,54.95,94,80,2.73,8.268899173059978
524,sao joao da barra,73.4,83,20,3.36,-28.950995407523138
525,yeniseysk,60.35,83,0,5.41,58.33478243767004
526,golden,73.4,40,90,3.36,39.11845625777514
527,andra,46.13,91,80,4.18,63.80263890940131
528,micheweni,77.54,100,0,13.69,-5.257066595133452
529,wageningen,65.89,88,90,4.7,3.3646064283260557
530,moussoro,73.67,94,8,7.76,14.48512876380802
531,angoche,74.39,100,0,10.45,-17.601275951765203
532,ballina,52.52,100,56,3.4,-29.82633234826772
533,opuwo,55.4,62,0,2.73,-19.954357128186288
534,wonthaggi,57.83,55,20,10.11,-39.4866671792642
535,yining,80.42,85,8,2.39,42.94679550238203
536,george,77.0,88,20,3.36,-34.648240477902675
537,russell,59.0,51,0,1.5,-31.03992785051858
538,turinsk,38.84,87,0,2.28,58.29078176121976
539,bilma,79.25,37,0,4.07,21.18083984934536
540,satun,77.83,94,20,8.55,6.955240675476404
541,mazara del vallo,80.6,88,20,4.7,36.68629267460582
542,jimenez,82.4,78,75,6.93,28.385402924401248
543,synya,45.68,83,92,3.62,65.80261353019904
544,along,71.15,93,80,1.39,30.641740062135824
545,kununurra,57.2,87,8,3.36,-19.948634678147044
546,dinghai,80.6,94,68,4.47,30.62494983431519
547,maues,75.02,92,8,3.74,-4.031016925178392
548,zabol,91.4,17,0,26.4,30.877328166238343
549,port hawkesbury,77.0,73,90,5.82,43.21004175557567
550,burnie,55.85,90,88,25.55,-44.26945734927408
551,bhojudih,77.54,95,92,6.98,23.535882513082655
552,paez,82.4,54,75,3.36,2.917600123976243
553,madang,75.02,100,92,5.19,-4.206404270218371
554,erzincan,66.2,55,0,9.17,40.0500770627672
555,koslan,43.97,88,24,2.39,63.72384315450452
556,soverato,71.6,88,0,5.82,38.422685393119025
557,bojnurd,75.2,38,0,2.24,37.47907253779766
558,waingapu,70.43,98,64,6.76,-12.14952761312452
559,pleasanton,82.42,15,1,16.11,28.792496686363293
